treatment,tech_company,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,mental_vs_physical,obs_consequence,mental_health_consequence
Yes,No,No,No,Yes,Very easy,Maybe,Some of them,Yes,Maybe,Yes,No,Maybe
Yes,No,No,Yes,Don't know,Somewhat easy,No,No,Some of them,No,Don't know,No,Yes
No,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Some of them,No,Don't know,Yes,Maybe
No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,No,No
No,No,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,No,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,Maybe,Yes,No,No
No,Yes,Don't know,Don't know,Don't know,Very easy,Yes,Some of them,Some of them,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Don't know,No,No,No,No,Don't know,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,No,No,Yes
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,No,Yes,Don't know,Don't know,Yes,Some of them,No,No,Yes,No,Maybe
No,Yes,No,No,Don't know,Don't know,Yes,No,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,No,No,No,Yes,Don't know,No,Some of them,Some of them,No,No,No,Maybe
No,Yes,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,Maybe
Yes,No,Yes,Yes,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,No,Very difficult,No,No,No,No,Yes,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,No,No,Maybe
No,No,Yes,Yes,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,No,Yes,Yes,Somewhat easy,No,Yes,Yes,No,Yes,Yes,No
Yes,Yes,No,No,Don't know,Very difficult,No,Yes,Yes,Yes,No,Yes,Maybe
No,No,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No,No,Yes
No,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Yes,No,Don't know,Yes,No
Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Yes,No
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,Maybe,Don't know,No,No
Yes,Yes,No,No,Don't know,Don't know,Maybe,Yes,Some of them,Maybe,No,No,Maybe
Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,No,No,No,Yes,Maybe
Yes,No,Don't know,Yes,Don't know,Somewhat easy,Maybe,Some of them,Yes,No,Don't know,Yes,Maybe
Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,Some of them,No,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,Yes,No,Maybe
Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Don't know,Don't know,Yes,Don't know,No,Some of them,Yes,Yes,No,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Yes,Don't know,No,No
Yes,No,Yes,No,Yes,Don't know,Yes,Some of them,Some of them,No,Yes,No,Yes
No,Yes,No,No,No,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Yes,No,No,No,Yes
Yes,Yes,No,Don't know,Don't know,Very difficult,Maybe,Some of them,No,No,Don't know,No,Yes
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,No,No,No,No,No,Yes
Yes,Yes,No,No,Don't know,Somewhat easy,Yes,Some of them,No,No,No,Yes,Yes
Yes,Yes,No,No,No,Don't know,No,Yes,Yes,No,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
No,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No,Maybe
Yes,Yes,No,No,No,Very easy,Maybe,Some of them,Yes,No,No,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,Maybe,Don't know,Yes,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,No,No,No,No,No,Maybe
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Yes,Some of them,No,No,Yes,Yes
Yes,No,No,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,No,No,Yes,Maybe
No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No,Yes,Yes
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,No,No,Yes,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,Yes,No,No,No,Somewhat difficult,Yes,Some of them,Some of them,No,No,No,Yes
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,Don't know,No,No
Yes,Yes,Don't know,Yes,No,Somewhat easy,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,No,Yes,Don't know,Somewhat easy,No,Some of them,No,No,Yes,Yes,Maybe
Yes,Yes,Yes,No,Don't know,Don't know,No,Yes,Some of them,No,Don't know,No,No
No,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,Yes,No,Maybe
No,Yes,Don't know,Yes,Yes,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,No,No,Yes,Don't know,No,No,No,No,Don't know,No,Yes
Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,No,Yes,Yes,Yes,Very easy,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,Yes,Don't know,Don't know,Don't know,No,Yes,Some of them,No,Don't know,No,Maybe
Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,Yes,Yes
Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,No,No,Yes,Yes
No,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Somewhat easy,No,Some of them,No,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,Yes,No,Yes,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,No,Maybe
Yes,No,Yes,Yes,Yes,Don't know,Maybe,No,Yes,No,Don't know,Yes,Maybe
No,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,Some of them,Maybe,Don't know,No,No
Yes,Yes,No,No,No,Very difficult,No,Some of them,No,No,Don't know,Yes,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,Don't know,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,No
Yes,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,Yes,No,Yes,Don't know,No,Some of them,No,No,No,No,Yes
No,No,Yes,Yes,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,Yes
No,Yes,No,No,Don't know,Don't know,No,No,No,No,No,No,Yes
Yes,No,No,No,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
